Coach,PassAttAgainst,PassCmpAgainst,PassYdsAgainst,PassTDsAgainst,Interceptions,RushAttAgainst,RushYdsAgainst,RushTDsAgainst,FgsAgainst,FumsRecovered,DefReturnYds,DefPoints,Sacks,SackYds,YdsPerDropbackAgainst,YdsPerRushAgainst,TurnoversForced,OffensivePtsAgainst,YdsPerPlayAgainst,CompletionPrctAllowed,PlaysAllowed,TotalYdsAllowed,TurnoverRate,RushPrctAgainst,YrsExp,Team,Position
Andy Reid,544.941,316.882,3590.471,21.3529411765,16.941,441.882,1833.471,9.882,23.5294117647,12.118,326.059,19.529,42.941,277.588,5.646,4.151,29.235,287.529,5.002,58.08%,1029.765,5146.353,2.83%,42.89%,17,KC,HC
Bill Belichick,549.291,318.091,3733.079,20.5234567901,18.716,430.921,1713.625,9.998,21.1679012346,13.257,304.679,17.200,41.840,285.795,5.832,3.978,31.973,277.151,5.049,57.89%,1022.052,5160.909,3.14%,42.15%,27,NE,HC
Bill O'Brien,586.000,344.500,3909.000,26,17.000,404.000,1639.000,8.000,19.5,12.500,433.500,25.000,41.500,281.000,5.775,4.059,29.500,296.500,5.103,58.80%,1031.500,5267.000,2.85%,39.17%,2,HOU,HC
Bob Sutton,553.000,329.000,3763.833,22,15.667,436.833,1881.333,9.667,24,11.000,300.000,22.333,40.833,257.167,5.914,4.300,26.667,293.667,5.226,59.58%,1030.667,5388.000,2.58%,42.42%,6,KC,DC
Bruce Arians,592.333,358.333,4139.333,25,19.000,379.667,1516.667,7.667,25.3333333333,12.333,334.667,32.667,39.333,283.667,6.121,3.986,31.333,304.667,5.316,60.54%,1011.333,5372.333,3.10%,37.57%,3,ARI,HC
Chip Kelly,631.333,382.333,4672.667,30.3333333333,15.333,464.667,1864.000,12.000,25.3333333333,13.000,323.667,21.333,41.000,290.333,6.519,4.005,28.333,372.333,5.493,60.50%,1137.000,6246.333,2.49%,40.89%,3,SF,HC
Chuck Pagano,546.800,324.000,3932.600,22.2,14.200,434.000,1890.000,13.200,25.2,11.000,213.200,20.400,39.600,248.200,6.281,4.351,69.200,323.400,5.461,59.23%,1020.400,5574.400,2.47%,42.53%,5,IND,HC
Dan Quinn,530.667,330.667,3417.667,17.3333333333,18.667,406.000,1536.667,10.667,22.3333333333,11.333,358.333,19.333,33.333,216.333,5.666,3.774,30.000,263.000,4.877,62.22%,970.000,4738.000,3.08%,41.84%,3,ATL,HC
Dean Pees,534.875,322.125,3755.750,22.125,14.875,412.625,1661.750,9.000,24.25,10.000,221.000,11.750,39.500,272.250,6.066,4.033,24.875,290.625,5.213,60.16%,987.000,5145.250,2.54%,41.79%,8,BAL,DC
Dennis Allen,536.750,349.250,4066.500,28.5,9.500,463.750,1889.000,15.250,30,8.750,138.750,9.000,31.500,221.250,6.767,4.074,18.250,396.250,5.559,65.05%,1032.000,5734.250,1.77%,44.92%,4,NO,DC
