Year,Pts,Yds,Ply,YdsPerPlay,TO,FL,1D,Pass1D,Rush1D,Penalty1D,PassCmp,PassAtt,CmpPrct,PassYds,PassTD,PassTDPrct,PassInt,PassIntPrct,YdsPerPass,AdjYPP,YdsPerCmp,QbRating,Sacked,SackedYds,NetYdsPerPassAtt,AdjNetYdsPerPassAtt,SkPrct,RushAtt,RushYds,RushTD,YdsPerCarry,Fum,PR,PrYds,YdsPerPR,KR,KrYds,YdsPerKR,ApYd,FGA,FGM,FgPrct,Fg019Prct,Fg2029Prct,Fg3039Prct,Fg4049Prct,Fg50Prct
2015,365,5642.7,1030.5,5.5,23.3,9.7,320.9,196.5,92.9,31.4,360.2,571.9,63,3901.5,26.3,4.6,13.6,2.4,7.3,7.1,11.5,88.4,37.1,245.2,6.41,6.3,6.1,421.5,1741.2,11.4,4.1,20.7,35.6,301.7,8.5,33.8,795.4,23.5,6985,30.8,26.1,84.5,1,0.9745762712,0.9411764706,0.7572815534,0.65
2014,361.4,5570.3,1024.3,5.4,23.7,9.6,320.5,196.5,92.7,31.3,350,558.7,62.6,3789,25.2,4.5,14.1,2.5,7.2,7,11.5,87.1,37.9,239.1,6.35,6.1,6.3,427.8,1781.3,11.9,4.2,20.9,32.4,287.8,8.9,38.3,910.1,23.8,7029.4,30.8,25.9,84,1,0.975708502,0.9006622517,0.7737226277,0.6103896104
2013,374.5,5575.7,1040.7,5.4,25.4,9.8,319.1,194.1,95.6,29.5,346.9,566.8,61.2,3769.6,25.1,4.4,15.7,2.8,7.1,6.8,11.6,84.1,40.5,267.2,6.21,5.9,6.7,433.5,1806.1,12.8,4.2,20.5,34.2,321.9,9.4,40.3,941.4,23.4,7143.3,31.2,27,86.5,1,0.9752066116,0.8983050847,0.8300653595,0.6713286713
2012,364.1,5555.2,1027.6,5.4,24.9,10.3,317.6,191.9,96.9,28.8,338.5,555.9,60.9,3700.6,23.7,4.3,14.6,2.6,7.1,6.7,11.6,83.8,36.5,235.4,6.25,5.9,6.2,435.2,1854.7,12.5,4.3,21.2,35.4,344.8,9.7,43.6,1027.9,23.6,7196.9,31.8,26.6,83.9,1,0.9641255605,0.8910891089,0.8018575851,0.6092715232
2011,354.9,5549.3,1017.8,5.5,25.3,9.5,311.3,187.2,96.7,27.3,327,544.1,60.1,3675,23.3,4.3,15.8,2.9,7.2,6.7,12,82.5,37.1,241.5,6.32,5.9,6.4,436.6,1874.3,12.5,4.3,20.3,36.7,363.7,9.9,43,1021.3,23.8,7195.3,31.6,26.2,82.9,1,0.9628378378,0.8687258687,0.74,0.6428571429
2010,352.6,5376.8,1010,5.3,26.9,10.9,302.8,183.3,96.3,23.3,327.8,539.7,60.8,3545.3,23.5,4.3,16,3,7,6.5,11.5,82.2,35.3,234.8,6.17,5.7,6.1,435,1831.5,12.5,4.2,22.8,35.9,344.6,9.6,63.5,1419.4,22.3,7396.1,30.1,24.8,82.4,1,0.9518518519,0.8869257951,0.7323943662,0.5462962963
2009,343.5,5362.2,1006.9,5.3,27.3,10.8,299,179.6,96.2,23.3,324.1,532.3,60.9,3495.3,22.2,4.2,16.4,3.1,7.1,6.8,11.5,81.2,34.4,220.8,6.17,5.6,6.2,440.3,1866.8,13.4,4.2,23.4,36.9,313.2,8.5,62.6,1416.9,22.6,7347.9,29.1,23.6,81.3,1,0.967032967,0.8362369338,0.7294117647,0.5288461538
2008,352.5,5235.8,990,5.3,24.8,10.3,294.8,172.9,101.6,20.3,315,516.4,61,3380.5,20.2,3.9,14.5,2.8,6.9,6.5,11.4,81.5,32.4,205.9,6.16,5.7,5.9,441.2,1855.3,14.9,4.2,22.3,34.1,315.4,9.3,66.1,1507.8,22.8,7301.4,31.3,26.4,84.5,1,0.9812030075,0.8909657321,0.7450331126,0.6346153846
2007,347,5203.5,1004.2,5.2,28.7,12,297.8,181.7,95.6,20.5,325.8,532.7,61.2,3428.8,22.5,4.2,16.7,3.1,6.9,6.3,11.2,80.9,34.4,223.5,6.05,5.5,6.1,437.1,1774.7,12.1,4.1,25,35.1,319.1,9.1,64.8,1466.8,22.6,7251.1,30,24.8,82.8,1,0.9507042254,0.9068100358,0.74204947,0.4736842105
2006,330.5,5153.8,1000,5.2,28,11.8,293.9,170.4,99.8,23.6,306.1,512.2,59.8,3276.9,20.3,4,16.3,3.2,6.9,6.2,11.5,78.5,36.4,231.8,5.97,5.4,6.6,451.5,1876.9,13.3,4.2,23.9,38,332,8.7,63.7,1434.6,22.5,7203.9,29.4,24,81.4,1,0.9553903346,0.8566308244,0.7346938776,0.4705882353
