Coach,PassAtt,PassCmp,PassYds,PassTDs,PassInt,RushAtt,TopRushAtt,RushYds,TopRushYds,RushTDs,TopRushTDs,QbRuYds,TopTwoWrRec,TopTwoWrYds,TopTwoWrTDs,TopTeRec,TopTeYds,TopTeTDs,TopRbRecs,TopRbReYds,TopRushAttPrct,TopRushYdsPrct,TopRushTDsPrct,StartingWrRecPrct,StartingWrYdsPrct,StartingWrTDsPrct,TopTeRecPrct,TopTeYdsPrct,TopTeTdsPrct,TopRbRecPrct,TopRbReYdsPrct,CompletionPrct,YdsPerPass,YdsPerRush,TopWrRec,TopWrYds,TopWrTDs,TopWrRecPrct,TopWrYdsPrct,TopWrTDsPrct,YrsExp,Team,Position
Adam Gase,607,399,4779,40,12,461,218,1854,898,15,8,-24,179,2718,20,53,489,12,44,389,0.4658,0.4844,0.5333,0.3883,0.4878,0.4545,0.1410,0.1142,0.2182,0.1302,0.0983,0.6573,7.873,4.029,92,1430,11,0.1996,0.2566,0.2545,3,MIA,HC
Andy Reid,548,330,3903,23,13,420,206,1918,936,14,6,355,110,1433,10,42,511,4,54,402,0.4843,0.4647,0.4615,0.3363,0.3974,0.4444,0.1367,0.1231,0.1563,0.1604,0.1222,0.5957,6.762,4.567,62,833,7,0.1880,0.2246,0.2593,17,KC,HC
Ben McAdoo,615,387.5,4487,33,14,426,206,1606,792,9,5,44.5,157.5,2245,18,52.5,543.5,4.5,44.5,360.5,0.4836,0.4931,0.5692,0.4066,0.5003,0.5417,0.1358,0.1212,0.1417,0.1144,0.0802,0.6301,7.297,3.781,93.5,1377.5,12.5,0.2412,0.3069,0.3806,2,NYG,HC
Bill Belichick,555,331,3772,25,13,451,185,1727,733,15,7,69,137,1689,10,29,389,4,47,427,0.4132,0.4124,0.4800,0.4048,0.4320,0.3793,0.1024,0.1015,0.1600,0.1237,0.0992,0.6203,7.052,3.943,83,906,7,0.2347,0.2431,0.2400,21,NE,HC
Bill Musgrave,515,305,3421,18,17,446,266,2073,1224,13,6,208,124,1530,8,32,344,2,36,269,0.6596,0.6616,0.4615,0.4066,0.4409,0.4444,0.0957,0.0944,0.1176,0.1099,0.0739,0.5952,6.643,4.310,74,967,6,0.2279,0.2591,0.2647,7,OAK,OC
Bill O'Brien,612,358,4079,29,12,472,183,1764,698,12,8,106,161,2179,14,20,251,2,26,227,0.4132,0.4032,0.6111,0.4413,0.5342,0.4091,0.0610,0.0615,0.0690,0.0726,0.0557,0.6082,7.134,3.922,111,1521,9,0.3042,0.3497,0.2727,3,HOU,HC
Brad Childress,543.5,323,3504,19,15.5,441.5,268,1930,1122.5,15,9,177.5,100,1383.5,9.5,44,449.5,3,44.5,417.5,0.5959,0.5527,0.5227,0.3304,0.3754,0.5000,0.1435,0.1210,0.1429,0.1441,0.1204,0.5855,6.675,4.381,55.5,801.5,5.5,0.1936,0.2208,0.3101,10,KC,OC
Bruce Arians,537.5,329,3940,22.5,15,431,214,1680.5,814,10.5,5.5,96.5,129.5,1929.5,12,40.5,483,2.5,37.5,311.5,0.5103,0.4874,0.5778,0.4110,0.5066,0.5217,0.1409,0.1316,0.0952,0.0872,0.0581,0.6281,7.733,4.085,76.5,1070,7.5,0.2388,0.2755,0.2992,12,ARI,HC
Chan Gailey,507,295,3358,21,18,473,294,1921,1151,15,7,279,116,1651,10,20,215,2,30,263,0.6095,0.5817,0.5789,0.4000,0.4686,0.5000,0.0717,0.0645,0.1000,0.1047,0.0752,0.5787,6.712,4.170,76,1046,7,0.2712,0.3050,0.3182,13,NYJ,OC
Chip Kelly,621,384,4406,27,18,474,312,1992,1319,16,6,155,129,2167,17,58,702,3,52,388,0.6280,0.6263,0.4000,0.3958,0.4781,0.5313,0.1510,0.1532,0.1304,0.1358,0.0894,0.6184,7.377,4.203,85,1318,9,0.2214,0.2877,0.3478,3,SF,HC
Chuck Pagano,623.5,352.5,4163,24.5,17,412,185,1641.5,675.5,10,5.5,258.5,139.5,1990.5,11,51.5,564.5,3.5,31,266,0.4317,0.4045,0.4273,0.3654,0.4462,0.3637,0.1407,0.1390,0.1522,0.0863,0.0632,0.5874,6.878,3.841,82,1234.5,6.5,0.2171,0.2801,0.2241,4,IND,HC
Clyde Christensen,592,362,3621,14,14,393,134,1483,645,13,6,108,145,1907,10,35,352,4,20,205,0.3508,0.4046,0.5882,0.3956,0.4606,0.4242,0.1126,0.1092,0.1429,0.0530,0.0436,0.6115,6.117,3.774,106,1266,6,0.2483,0.2979,0.2424,3,MIA,OC
Curtis Modkins,519,309,3430,24,21,401,207,1921,934,12,6,215,120,1651,12,38,389,6,39,442,0.4683,0.5390,0.5000,0.3883,0.4341,0.5000,0.1067,0.1009,0.2500,0.1096,0.1146,0.6047,6.673,4.913,79,1046,7,0.2557,0.3050,0.2917,3,SF,OC
Dan Quinn,621,410,4602,21,17,421,265,1606,1065,13,11,59,179,2377,11,59,657,1,73,578,0.6295,0.6631,0.8462,0.4366,0.5165,0.5238,0.1439,0.1428,0.0476,0.1780,0.1256,0.6602,7.411,3.815,136,1871,8,0.3317,0.4066,0.3810,1,ATL,HC
Darrell Bevell,471.5,293,3423,21,12,497,293,2228,1302,15.5,12,234.5,100,1399,8.5,40,391.5,2.5,36,328.5,0.6165,0.6423,0.6771,0.3646,0.4110,0.5000,0.1413,0.1180,0.1270,0.1174,0.0973,0.6235,7.404,4.454,60.5,846.5,5,0.2185,0.2461,0.2872,10,SEA,OC
Dirk Koetter,535,315,3620,26,15,447,223,1970,1202,12,8,210,110,1591,8,39,489,2,51,374,0.5840,0.5528,0.5455,0.3526,0.4118,0.4231,0.1285,0.1439,0.1333,0.1389,0.1039,0.6205,7.156,4.164,66,869,7,0.2000,0.2415,0.2500,9,TB,HC
Doug Pederson,493,320,3493,20,7,436,206,2044,1033,18,9,483,110,1269,7,67,862,5,40,291,0.4905,0.5386,0.5000,0.3303,0.3564,0.2917,0.2094,0.2505,0.2500,0.1250,0.0849,0.6491,6.953,4.652,60,754,5,0.1875,0.2200,0.2083,3,PHI,HC
Dowell Loggains,533,328,3710,22,16,462,279,1894,1077,16,6,380,152,1998,7,60,571,6,42,345,0.6039,0.5686,0.3750,0.4634,0.5385,0.3182,0.1829,0.1539,0.2727,0.1280,0.0930,0.6154,6.961,4.100,94,1079,4,0.2866,0.2908,0.1818,1,CHI,OC
Edgar Bennett,573,348,3825,31,8,436,187,1850,758,8,3,341,129,1719,14,58,510,8,43,392,0.4289,0.4097,0.3750,0.3707,0.4494,0.4516,0.1667,0.1333,0.2581,0.1236,0.1025,0.6073,6.675,4.243,79,890,8,0.2270,0.2327,0.2581,1,GB,OC
Frank Reich,620.5,411,4575.5,30.5,15.5,395.5,172,1362.5,611.5,5,3,64.5,125.5,1462.5,10,62.5,725.5,8.5,58,513,0.4351,0.4489,0.6250,0.3096,0.3232,0.3263,0.1541,0.1604,0.2769,0.1379,0.1093,0.6623,7.382,3.445,72,790.5,5.5,0.1771,0.1743,0.1796,2,PHI,OC
Gary Kubiak,554,344,3986,24,17,465,273,2042,1240,16,9,167,137,1875,12,51,572,4,34,241,0.5341,0.6052,0.5625,0.4322,0.4779,0.5000,0.1635,0.1657,0.1579,0.1056,0.0660,0.6106,7.254,4.479,86,1147,7,0.2607,0.3093,0.3214,21,DEN,HC
George Godsey,619,358,4079,29,12,472,183,1731,698,7,2,78,158,2179,15,20,251,2,26,227,0.3877,0.4032,0.2857,0.4413,0.5342,0.5172,0.0559,0.0615,0.0690,0.0726,0.0557,0.5784,6.590,3.667,111,1521,11,0.3101,0.3729,0.3793,1,HOU,OC
Greg Olson,574,333,3564,19,18,404,186,1527,781,9,5,305,106,1359,10,46,516,4,37,284,0.5141,0.5032,0.5556,0.3014,0.3932,0.5294,0.1549,0.1545,0.1818,0.1141,0.0767,0.5803,6.527,4.161,65,888,7,0.2013,0.2512,0.4000,9,JAX,OC
Greg Roman,451,289,3407,21,8,498,258,2201,1128,17,8,547,107,1554,9,51,548,5,25,234,0.5426,0.5083,0.4706,0.4262,0.4442,0.4500,0.1729,0.1543,0.2174,0.0969,0.0659,0.6142,7.698,4.630,83,1062,7,0.2842,0.3112,0.3333,5,BUF,OC
Gus Bradley,592,349,3751,16,18,360,182,1473,740,7,4,310,117,1261,8,26,359,4,36,279,0.5141,0.5024,0.4444,0.3352,0.3576,0.5333,0.0800,0.0957,0.1429,0.1014,0.0630,0.5848,6.336,4.161,66,777,6,0.1891,0.2071,0.4000,3,JAX,HC
Harold Goodwin,568,353,4291,24,13,422,201,1540,687,12,8,11,147,1995,15,33,350,2,39,395,0.5063,0.4461,0.5000,0.4050,0.4645,0.5238,0.1031,0.0877,0.0833,0.1074,0.0957,0.6281,7.476,3.649,82,1041,9,0.2259,0.2426,0.2857,3,ARI,OC
Hue Jackson,514.5,319,3562,20,16,466.5,223,1957.5,885.5,17,7.5,144,130.5,1769,10.5,47,452,5,40,383.5,0.4644,0.4635,0.4868,0.3959,0.5001,0.5008,0.1403,0.1269,0.2639,0.1253,0.0999,0.6033,7.064,4.156,75.5,1121.5,6,0.2303,0.3046,0.2929,6,CLE,HC
Jack Del Rio,500,297,3388.5,17,13.5,485,263,1999.5,1213,15.5,7,240.5,109,1344,8,34.5,372,2,42,372,0.5835,0.6072,0.5326,0.3558,0.4116,0.4559,0.1120,0.1136,0.1064,0.1487,0.1061,0.6017,6.837,4.237,64,812.5,6.5,0.1977,0.2384,0.2670,10,OAK,HC
Jason Garrett,550,347,4226,29,19,408,214,1786,932,12,7,72,119,1941,18,81,952,5,44,328,0.4908,0.5584,0.5000,0.3429,0.4332,0.6061,0.2470,0.2115,0.1515,0.1266,0.0828,0.6441,7.587,4.429,81,1233,11,0.2120,0.2768,0.3939,9,DAL,HC
Jay Gruden,547,363,4294,28,16,430,265,1745,1067,11,6,153,131,1883,11,56,596,5,35,304,0.6000,0.6001,0.5455,0.3734,0.4946,0.5238,0.1818,0.1699,0.1786,0.0923,0.0708,0.6204,7.356,3.908,72,1169,7,0.2110,0.3014,0.3333,5,WAS,HC
Jeff Fisher,501,302.5,3435.5,21,15,468.5,307.5,1910.5,1137.5,12.5,7,231.5,89.5,1338,8,48.5,515,3,36.5,257.5,0.6349,0.5749,0.5625,0.3296,0.4124,0.4833,0.1594,0.1490,0.1603,0.1161,0.0798,0.5913,6.693,4.126,53,743,5,0.1901,0.2333,0.2753,20,LA,HC
Jim Caldwell,611.5,383.5,4373.5,27.5,15.5,387.5,178.5,1378.5,652.5,9.5,5.5,102,165,2028,13,40.5,444.5,3.5,45.5,321.5,0.4549,0.4721,0.5982,0.4109,0.4546,0.5227,0.1122,0.1148,0.1472,0.1182,0.0741,0.6335,6.992,3.681,94.5,1239,8,0.2475,0.2882,0.3289,6,DET,HC
John Fox,494.5,277.5,3386.5,19.5,15.5,464.5,219.5,1837.5,888,11.5,6.5,33.5,134,1964,11.5,29,288.5,3,31,283,0.4641,0.4823,0.5635,0.4486,0.5450,0.5789,0.1031,0.0974,0.1390,0.0989,0.0859,0.5906,7.147,4.018,85,1138,7.5,0.2512,0.3272,0.3684,14,CHI,HC
